Academic_Year,Semester,Student_ID,Course_Code,Total_Sessions,Sessions_Attended,Attendance_Percentage,Attendance_Status
2018/19,Sem1,10000113,GS1001,20,14,71.5,Warning
2018/19,Sem1,10000113,GS1002,20,14,70.7,Warning
2018/19,Sem1,10000113,B1003,20,13,67.4,Warning
2018/19,Sem1,10000113,B1004,20,12,63.2,Warning
2018/19,Sem2,10000113,B1501,20,15,75.0,Warning
2018/19,Sem2,10000113,B1502,20,13,68.1,Warning
2018/19,Sem2,10000113,B1503,20,12,64.3,Warning
2018/19,Sem2,10000113,B1504,20,14,70.0,Warning
2018/19,Sem1,10000114,GS1001,20,18,90.6,Good
2018/19,Sem1,10000114,GS1002,20,16,84.1,Good
2018/19,Sem1,10000114,B1003,20,16,82.3,Good
2018/19,Sem1,10000114,B1004,20,17,87.4,Good
2018/19,Sem2,10000114,B1501,20,17,88.4,Good
2018/19,Sem2,10000114,B1502,20,17,88.3,Good
2018/19,Sem2,10000114,B1503,20,17,89.2,Good
2018/19,Sem2,10000114,B1504,20,16,83.4,Good
2018/19,Sem1,10000115,B3001,20,13,68.7,Warning
2018/19,Sem1,10000115,B3002,20,15,79.9,Warning
2018/19,Sem1,10000115,B3009,20,16,81.4,Good
2018/19,Sem1,10000115,B3010,20,13,66.8,Warning
2018/19,Sem2,10000115,B3507,20,12,64.8,Warning
2018/19,Sem2,10000115,B3508,20,13,68.8,Warning
2018/19,Sem2,10000115,B3511,20,14,70.6,Warning
2018/19,Sem2,10000115,B3512,20,16,83.9,Good
2018/19,Sem1,10000116,B2002,20,12,62.6,Warning
2018/19,Sem1,10000116,B2004,20,13,65.8,Warning
2018/19,Sem1,10000116,B2006,20,9,46.8,Concern
2018/19,Sem1,10000116,B2007,20,13,65.6,Warning
2018/19,Sem2,10000116,B2501,20,8,40.6,Concern
2018/19,Sem2,10000116,B2502,20,11,56.5,Concern
2018/19,Sem2,10000116,B2503,20,11,59.2,Concern
2018/19,Sem2,10000116,B2504,20,12,62.9,Warning
2018/19,Sem1,10000117,GS1001,20,19,95.3,Good
2018/19,Sem1,10000117,GS1002,20,16,81.2,Good
2018/19,Sem1,10000117,B1003,20,17,87.3,Good
2018/19,Sem1,10000117,B1004,20,16,83.4,Good
2018/19,Sem2,10000117,B1501,20,15,79.2,Warning
2018/19,Sem2,10000117,B1502,20,16,81.0,Good
2018/19,Sem2,10000117,B1503,20,16,84.0,Good
2018/19,Sem2,10000117,B1504,20,18,90.1,Good
2018/19,Sem1,10000118,GS1001,20,17,87.8,Good
2018/19,Sem1,10000118,GS1002,20,17,86.5,Good
2018/19,Sem1,10000118,B1003,20,19,95.1,Good
2018/19,Sem1,10000118,B1004,20,18,91.0,Good
2018/19,Sem2,10000118,B1501,20,15,79.5,Warning
2018/19,Sem2,10000118,B1502,20,15,75.1,Warning
2018/19,Sem2,10000118,B1503,20,16,81.7,Good
2018/19,Sem2,10000118,B1504,20,17,88.1,Good
2018/19,Sem1,10000119,B3001,20,11,57.9,Concern
2018/19,Sem1,10000119,B3002,20,10,54.9,Concern
2018/19,Sem1,10000119,B3009,20,13,66.2,Warning
2018/19,Sem1,10000119,B3010,20,10,53.2,Concern
2018/19,Sem2,10000119,B3507,20,9,49.7,Concern
2018/19,Sem2,10000119,B3508,20,12,62.1,Warning
2018/19,Sem2,10000119,B3511,20,12,63.5,Warning
2018/19,Sem2,10000119,B3512,20,10,51.2,Concern
2018/19,Sem1,10000120,GS1001,20,14,72.0,Warning
2018/19,Sem1,10000120,GS1002,20,15,75.1,Warning
2018/19,Sem1,10000120,B1003,20,13,66.3,Warning
2018/19,Sem1,10000120,B1004,20,16,80.8,Good
2018/19,Sem2,10000120,B1501,20,13,67.1,Warning
2018/19,Sem2,10000120,B1502,20,16,84.6,Good
2018/19,Sem2,10000120,B1503,20,14,71.1,Warning
2018/19,Sem2,10000120,B1504,20,12,63.8,Warning
2018/19,Sem1,10000121,GS1001,20,18,93.6,Good
2018/19,Sem1,10000121,GS1002,20,18,94.0,Good
2018/19,Sem1,10000121,B1003,20,19,96.3,Good
2018/19,Sem1,10000121,B1004,20,18,94.6,Good
2018/19,Sem2,10000121,B1501,20,17,89.5,Good
2018/19,Sem2,10000121,B1502,20,18,90.8,Good
2018/19,Sem2,10000121,B1503,20,18,91.5,Good
2018/19,Sem2,10000121,B1504,20,19,96.3,Good
2018/19,Sem1,10000122,GS1001,20,18,92.3,Good
2018/19,Sem1,10000122,GS1002,20,17,87.5,Good
2018/19,Sem1,10000122,B1003,20,18,94.0,Good
2018/19,Sem1,10000122,B1004,20,17,89.8,Good
2018/19,Sem2,10000122,B1501,20,18,94.6,Good
2018/19,Sem2,10000122,B1502,20,19,96.1,Good
2018/19,Sem2,10000122,B1503,20,18,93.0,Good
2018/19,Sem2,10000122,B1504,20,18,93.0,Good
2018/19,Sem1,10000123,B2002,20,19,95.7,Good
2018/19,Sem1,10000123,B2004,20,17,89.9,Good
2018/19,Sem1,10000123,B2006,20,17,86.1,Good
2018/19,Sem1,10000123,B2007,20,17,89.8,Good
2018/19,Sem2,10000123,B2501,20,19,97.4,Good
2018/19,Sem2,10000123,B2502,20,19,95.2,Good
2018/19,Sem2,10000123,B2503,20,17,85.8,Good
2018/19,Sem2,10000123,B2504,20,19,99.1,Good
2018/19,Sem1,10000124,GS1001,20,13,69.9,Warning
2018/19,Sem1,10000124,GS1002,20,13,69.9,Warning
2018/19,Sem1,10000124,B1003,20,15,77.7,Warning
2018/19,Sem1,10000124,B1004,20,16,80.0,Warning
2018/19,Sem2,10000124,B1501,20,15,78.3,Warning
2018/19,Sem2,10000124,B1502,20,15,79.8,Warning
2018/19,Sem2,10000124,B1503,20,14,73.9,Warning
2018/19,Sem2,10000124,B1504,20,13,69.0,Warning
2018/19,Sem1,10000125,B2002,20,14,73.7,Warning
2018/19,Sem1,10000125,B2004,20,14,72.5,Warning
2018/19,Sem1,10000125,B2006,20,14,71.3,Warning
2018/19,Sem1,10000125,B2007,20,14,74.1,Warning
2018/19,Sem2,10000125,B2501,20,13,67.3,Warning
2018/19,Sem2,10000125,B2502,20,16,82.1,Good
2018/19,Sem2,10000125,B2503,20,13,65.6,Warning
2018/19,Sem2,10000125,B2504,20,14,71.1,Warning
2018/19,Sem1,10000126,B2002,20,16,84.9,Good
2018/19,Sem1,10000126,B2004,20,17,88.5,Good
2018/19,Sem1,10000126,B2006,20,18,90.9,Good
2018/19,Sem1,10000126,B2007,20,17,85.4,Good
2018/19,Sem2,10000126,B2501,20,17,85.3,Good
2018/19,Sem2,10000126,B2502,20,17,85.8,Good
2018/19,Sem2,10000126,B2503,20,17,85.1,Good
2018/19,Sem2,10000126,B2504,20,17,86.3,Good
2018/19,Sem1,10000127,GS1001,20,19,95.5,Good
