Academic_Year,Student_ID,Course_Code,Credits,Semester
2018/19,10000113,GS1001,15,Sem1
2018/19,10000113,GS1002,15,Sem1
2018/19,10000113,B1003,15,Sem1
2018/19,10000113,B1004,15,Sem1
2018/19,10000113,B1501,15,Sem2
2018/19,10000113,B1502,15,Sem2
2018/19,10000113,B1503,15,Sem2
2018/19,10000113,B1504,15,Sem2
2018/19,10000114,GS1001,15,Sem1
2018/19,10000114,GS1002,15,Sem1
2018/19,10000114,B1003,15,Sem1
2018/19,10000114,B1004,15,Sem1
2018/19,10000114,B1501,15,Sem2
2018/19,10000114,B1502,15,Sem2
2018/19,10000114,B1503,15,Sem2
2018/19,10000114,B1504,15,Sem2
2018/19,10000115,B3001,15,Sem1
2018/19,10000115,B3002,15,Sem1
2018/19,10000115,B3009,15,Sem1
2018/19,10000115,B3010,15,Sem1
2018/19,10000115,B3507,15,Sem2
2018/19,10000115,B3508,30,Sem2
2018/19,10000115,B3511,15,Sem2
2018/19,10000115,B3512,15,Sem2
2018/19,10000116,B2002,15,Sem1
2018/19,10000116,B2004,15,Sem1
2018/19,10000116,B2006,15,Sem1
2018/19,10000116,B2007,15,Sem1
2018/19,10000116,B2501,15,Sem2
2018/19,10000116,B2502,15,Sem2
2018/19,10000116,B2503,15,Sem2
2018/19,10000116,B2504,15,Sem2
2018/19,10000117,GS1001,15,Sem1
2018/19,10000117,GS1002,15,Sem1
2018/19,10000117,B1003,15,Sem1
2018/19,10000117,B1004,15,Sem1
2018/19,10000117,B1501,15,Sem2
2018/19,10000117,B1502,15,Sem2
2018/19,10000117,B1503,15,Sem2
2018/19,10000117,B1504,15,Sem2
2018/19,10000118,GS1001,15,Sem1
2018/19,10000118,GS1002,15,Sem1
2018/19,10000118,B1003,15,Sem1
2018/19,10000118,B1004,15,Sem1
2018/19,10000118,B1501,15,Sem2
2018/19,10000118,B1502,15,Sem2
2018/19,10000118,B1503,15,Sem2
2018/19,10000118,B1504,15,Sem2
2018/19,10000119,B3001,15,Sem1
2018/19,10000119,B3002,15,Sem1
2018/19,10000119,B3009,15,Sem1
2018/19,10000119,B3010,15,Sem1
2018/19,10000119,B3507,15,Sem2
2018/19,10000119,B3508,30,Sem2
2018/19,10000119,B3511,15,Sem2
2018/19,10000119,B3512,15,Sem2
2018/19,10000120,GS1001,15,Sem1
