Student_ID,Course_Grade_Point,Overall_Grade,Warning
10000132,3.703,F3,
10000142,5.3245,F1,
10000148,8.854999999999999,E1,
10000160,9.9935,D3,
10000161,2.0469999999999997,G1,
10000165,4.922,F2,
10000176,9.66,D3,
10000183,12.005999999999998,C3,
10000196,9.027499999999998,D3,
10000197,4.853,F2,
10000200,11.431,D1,
10000203,6.290499999999999,E3,
10000215,8.28,E1,
10000219,7.624499999999999,E2,
10000233,7.5095,E2,
10000242,6.7505,E3,
10000247,4.484999999999999,F2,
10000253,2.9094999999999995,G1,
10000256,11.626499999999998,D1,
10000260,4.232,F2,
10000262,8.325999999999999,E1,
10000269,5.1979999999999995,F1,
10000281,11.132,D1,
10000284,14.512999999999998,C1,
10000292,10.304,D2,
10000293,5.1865,F1,
10000294,3.3465,F3,
10000300,1.518,G1,
10000306,7.888999999999999,E2,
10000312,9.7405,D3,
10000318,6.739,E3,
10000333,0.034499999999999996,G3,
10000340,5.991499999999999,F1,
10000342,5.037,F1,
10000348,4.0595,F2,
10000353,4.910499999999999,F2,
10000354,2.1965,G1,
10000356,7.566999999999999,E2,
10000360,5.5545,F1,
10000367,5.451,F1,
10000378,9.498999999999999,D3,
10000383,7.6819999999999995,E2,
10000385,6.3134999999999994,E3,
10000387,3.128,F3,
10000389,7.037999999999999,E2,
10000405,15.559499999999998,B3,
10000421,7.543999999999999,E2,
10000474,8.038499999999999,E1,
10000476,6.1754999999999995,E3,
