Student_ID,Course_Grade_Point,Overall_Grade,Warning
10002859,3.85,F3,
10002860,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002862,21.5,A2,
10002868,14.32,C1,
10002886,13.83,C2,
10002890,15.46,B3,
10002895,13.21,C2,
10002901,13.04,C2,
10001882,7.84,E2,
10001883,2.56,G1,
10001884,12.97,C3,
10001885,14.28,C1,
10001886,13.82,C2,
10001887,10.53,D2,
10001888,7.51,E2,
10001889,9.24,D3,
10001892,16.56,B2,
10001894,3.17,F3,
10001896,19.03,A4,
10001898,7.25,E2,
10001901,14.74,C1,
10001902,6.94,E3,
10001904,12.76,C3,
10001906,17.41,B1,
10001907,14.81,C1,
10001908,15.42,B3,
10001910,20.65,A3,
10001911,12.01,C3,
10001912,14.42,C1,
10001913,3.87,F3,
10001914,13.03,C2,
10001915,20.41,A3,
10001917,14.2,C1,
10001920,20.51,A3,
10001922,11.62,D1,
10001923,9.23,D3,
10001924,19.7,A4,
10001925,10.68,D2,
10001926,14.28,C1,
10001927,20.83,A3,
10001928,19.87,A4,
10001929,14.91,C1,
10001930,11.3,D1,
10001932,11.91,D1,
10001933,10.97,D2,
10001934,21.16,A2,
10001935,14.99,C1,
10001936,13.3,C2,
10001937,20.67,A3,
10001938,14.46,C1,
10001939,13.57,C2,
10001940,15.03,B3,
10001941,20.6,A3,
10001942,7.38,E2,
10001943,10.55,D2,
10001944,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10001945,7.8,E2,
10001946,13.22,C2,
10001947,20.29,A3,
10001948,14.38,C1,
10001950,15.57,B3,
10001951,15.21,B3,
10001952,10.86,D2,
10001953,19.45,A4,
10001954,2.14,G1,
10001955,20.61,A3,
10001956,10.78,D2,
10002431,15.41,B3,
10002440,19.15,A4,
10002445,13.88,C2,
10002449,17.48,B1,
10002467,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002470,13.62,C2,
10002479,14.32,C1,
