Student_ID,Course_Grade_Point,Overall_Grade,Warning
10003030,12.8225,C3,
10003181,8.395,E1,
10002169,8.533,E1,
10002170,3.2544999999999997,F3,
10002183,10.844499999999998,D2,
10002196,6.6125,E3,
10002201,5.7155,F1,
10002205,14.512999999999998,C1,
10002207,2.093,G1,
10002208,15.881499999999999,B3,
10002219,12.075,C3,
10002222,6.520499999999999,E3,
10002252,5.52,F1,
10002259,1.4949999999999999,G1,
10002262,11.902499999999998,D1,
10002266,12.8915,C3,
10002681,10.074,D2,
10002725,8.728499999999999,E1,
