Student_ID,Course_Grade_Point,Overall_Grade,Warning
10003359,14.59,C1,
10003361,19.52,A4,
10003362,19.38,A4,
10003363,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003364,14.84,C1,
10003365,13.78,C2,
10003366,13.29,C2,
10003367,10.6,D2,
10003370,14.78,C1,
10003371,14.84,C1,
10003372,12.78,C3,
10003373,9.27,D3,
10003374,12.0,C3,
10003377,15.03,B3,
10003378,21.57,A2,
10003379,16.68,B2,
10003381,19.28,A4,
10003382,13.62,C2,
10003383,20.68,A3,
10003384,20.28,A3,
10003385,11.55,D1,
10003386,7.84,E2,
10003387,12.52,C3,
10003388,15.82,B3,
10003391,7.65,E2,
10003393,19.76,A4,
10003394,18.98,A5,
10003395,11.63,D1,
10003396,12.65,C3,
10003397,14.86,C1,
10003398,9.12,D3,
10003401,11.25,D1,
10003403,12.76,C3,
10003404,18.06,A5,
10003405,20.12,A3,
10003406,12.67,C3,
10003407,10.79,D2,
10003411,9.85,D3,
10003412,12.12,C3,
10003413,5.11,F1,
10003414,20.14,A3,
10003416,11.05,D1,
10003417,14.91,C1,
10003420,14.86,C1,
10003421,10.17,D2,
10003423,3.78,F3,
10003425,12.62,C3,
10003426,13.06,C2,
10003429,11.32,D1,
10003431,14.83,C1,
10003432,20.13,A3,
10003433,13.77,C2,
10003434,14.15,C1,
10003437,14.57,C1,
10003439,17.08,B1,
10003442,15.36,B3,
10003444,2.86,G1,
10003445,10.7,D2,
10003446,18.92,A5,
10003447,6.88,E3,
10003448,11.51,D1,
10003449,8.19,E1,
10003450,6.96,E3,
10003453,2.58,G1,
10003455,10.49,D2,
10003456,10.26,D2,
10003457,8.95,E1,
10003458,11.27,D1,
10003459,14.68,C1,
10003462,15.64,B3,
10003464,11.89,D1,
10003465,5.64,F1,
10003467,8.24,E1,
10003468,13.83,C2,
10003470,14.85,C1,
10003471,3.8,F3,
10003472,15.52,B3,
10003473,NP,NP,NO PAPER - FOLLOW UP REQUIRED
