Student_ID,Course_Grade_Point,Overall_Grade,Warning
10003504,18.94,A5,
10003505,11.09,D1,
10003507,10.65,D2,
10003508,14.97,C1,
10003510,15.24,B3,
10003511,14.6,C1,
10003513,15.97,B3,
10003514,14.47,C1,
10003515,16.57,B2,
10003517,14.98,C1,
10003518,10.13,D2,
10003519,11.82,D1,
10003520,20.01,A3,
10003522,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003523,15.51,B3,
10003528,5.3,F1,
10003529,16.04,B2,
10003530,18.59,A5,
10003531,19.37,A4,
10003532,15.23,B3,
10003533,9.21,D3,
10003534,19.43,A4,
10003535,16.46,B2,
10003536,5.29,F1,
10003537,18.4,A5,
10003540,19.99,A4,
10003541,5.72,F1,
10003542,20.45,A3,
10003545,9.23,D3,
10003546,14.47,C1,
10003547,13.36,C2,
10003548,10.68,D2,
10003551,11.66,D1,
10003552,5.87,F1,
10003553,18.5,A5,
10003554,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003555,10.88,D2,
10003556,8.86,E1,
10003557,14.87,C1,
10003559,13.44,C2,
10003560,19.88,A4,
10003561,12.65,C3,
