Student_ID,Course_Grade_Point,Overall_Grade,Warning
10004028,19.92,A4,
10004029,13.94,C2,
10004030,20.77,A3,
10004032,7.13,E2,
10004034,5.07,F1,
10004035,12.93,C3,
10004036,14.89,C1,
10004038,10.9,D2,
10004043,16.34,B2,
10004046,20.67,A3,
10004048,3.29,F3,
10004049,4.41,F2,
10004051,3.11,F3,
10004053,18.69,A5,
10004054,8.92,E1,
10004056,8.3,E1,
10004057,15.35,B3,
10004058,9.42,D3,
10004059,5.08,F1,
10004062,13.59,C2,
10004065,8.57,E1,
10004066,20.49,A3,
10004067,11.57,D1,
10004068,12.78,C3,
10004069,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10004070,16.33,B2,
10004071,15.07,B3,
10004072,15.57,B3,
10004073,19.67,A4,
