Student_ID,Course_Grade_Point,Overall_Grade,Warning
10001221,21.09,A2,
10001222,6.74,E3,
10001231,12.09,C3,
10001238,10.85,D2,
10001240,14.27,C1,
10001241,13.83,C2,
10001246,12.45,C3,
10001250,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10001252,12.61,C3,
10001254,12.47,C3,
10001261,12.98,C3,
10001263,15.93,B3,
10001272,14.43,C1,
10001276,10.22,D2,
10001292,13.97,C2,
10001298,10.93,D2,
10001309,14.65,C1,
10001310,10.78,D2,
10001314,18.18,A5,
10001331,15.66,B3,
10001334,9.86,D3,
10001338,13.74,C2,
10001343,20.15,A3,
10001347,9.24,D3,
10001355,21.74,A2,
10001370,4.6,F2,
10001379,14.55,C1,
10001380,11.57,D1,
10001385,13.67,C2,
10001394,18.78,A5,
10001397,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10001398,11.94,D1,
10001404,16.18,B2,
10001409,19.47,A4,
10001412,20.4,A3,
10001420,13.0,C2,
10001425,8.2,E1,
10001431,15.43,B3,
10001433,20.55,A3,
10001443,8.33,E1,
10001461,14.84,C1,
10001479,13.37,C2,
10001481,19.51,A4,
10001487,20.01,A3,
10001503,16.13,B2,
10001508,13.93,C2,
10001514,16.12,B2,
10001520,13.38,C2,
10001527,11.9,D1,
10001535,8.11,E1,
10001561,14.75,C1,
10001611,6.06,E3,
10001620,15.92,B3,
10001642,15.03,B3,
10001652,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10001670,21.07,A2,
10001680,14.92,C1,
10001690,10.15,D2,
10000623,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000624,9.16,D3,
10000625,10.35,D2,
10000626,10.6,D2,
10000628,0.83,G2,
10000629,11.96,D1,
10000631,16.94,B2,
10000632,15.83,B3,
10000634,11.03,D1,
10000635,12.27,C3,
10000636,10.49,D2,
10000638,19.74,A4,
10000639,17.18,B1,
10000640,14.22,C1,
10000641,15.82,B3,
10000642,12.64,C3,
10000643,21.02,A2,
10000646,10.94,D2,
10000647,18.99,A5,
10000648,14.57,C1,
10000649,12.22,C3,
10000650,15.88,B3,
10000652,16.9,B2,
10000654,10.41,D2,
10000655,7.3,E2,
10000656,7.37,E2,
10000657,12.2,C3,
10000659,19.52,A4,
10000660,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000662,5.75,F1,
10000663,5.98,F1,
10000664,14.13,C1,
10000665,10.48,D2,
10000666,11.92,D1,
10000667,9.37,D3,
10000668,16.92,B2,
10000671,20.43,A3,
10000672,14.19,C1,
10000673,9.72,D3,
10000674,16.54,B2,
10000675,12.62,C3,
10000676,13.7,C2,
10000677,20.28,A3,
10000678,8.38,E1,
10000679,20.98,A3,
10000680,15.25,B3,
10000681,10.25,D2,
10000685,17.27,B1,
10000686,18.72,A5,
10000689,13.05,C2,
10000690,8.18,E1,
10000691,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000692,9.32,D3,
10000695,21.37,A2,
10000696,20.5,A3,
10000697,12.88,C3,
10000701,11.4,D1,
10000703,14.37,C1,
10000705,16.37,B2,
10000707,15.12,B3,
10000708,20.43,A3,
10000709,13.55,C2,
10000710,13.46,C2,
10000714,13.66,C2,
10000715,11.88,D1,
10000716,8.05,E1,
10000717,18.86,A5,
10000718,9.72,D3,
10000719,3.48,F3,
10000721,20.19,A3,
10000722,14.16,C1,
10000723,13.74,C2,
10000724,5.48,F1,
10000725,13.05,C2,
10000726,8.51,E1,
10000727,19.59,A4,
10000729,14.5,C1,
10000730,20.84,A3,
10000731,11.59,D1,
10000732,7.89,E2,
10000733,7.44,E2,
10000734,20.21,A3,
10000738,13.81,C2,
10000739,12.24,C3,
10000740,11.36,D1,
10000741,17.02,B1,
10000743,9.17,D3,
10000745,6.32,E3,
10000746,13.25,C2,
10000747,11.23,D1,
10000748,8.4,E1,
10000749,16.05,B2,
10000750,10.41,D2,
10000751,6.14,E3,
10000753,13.29,C2,
10000754,11.35,D1,
10000755,15.55,B3,
10000756,17.53,B1,
10000757,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000761,20.64,A3,
10000763,15.9,B3,
10000764,17.11,B1,
10000765,11.03,D1,
10000766,15.33,B3,
10000767,20.37,A3,
10000769,14.0,C1,
10000773,2.7,G1,
10000776,21.06,A2,
10000777,5.96,F1,
10000778,19.6,A4,
10000780,15.81,B3,
10000781,11.14,D1,
10000782,13.45,C2,
10000783,12.55,C3,
10000784,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000785,11.25,D1,
10000786,19.24,A4,
10000787,16.44,B2,
10000790,10.97,D2,
10000791,17.15,B1,
10000792,8.82,E1,
10000793,16.15,B2,
10000794,13.76,C2,
10000796,10.81,D2,
10000797,14.81,C1,
10000798,14.93,C1,
10000799,19.08,A4,
10000800,16.21,B2,
10000801,19.67,A4,
10000802,12.0,C3,
10000803,12.28,C3,
10000804,14.36,C1,
10000805,13.85,C2,
10000806,15.81,B3,
10000807,11.14,D1,
10000808,3.21,F3,
10000809,13.48,C2,
10000810,14.02,C1,
10000811,20.13,A3,
10000812,15.16,B3,
10000813,13.72,C2,
10000814,14.2,C1,
10000815,19.16,A4,
10000818,5.25,F1,
10000819,12.05,C3,
10000820,8.49,E1,
10000822,2.8,G1,
10000824,2.28,G1,
10000825,10.44,D2,
10000827,14.88,C1,
10000828,14.47,C1,
10000830,3.95,F3,
10000831,17.16,B1,
10000832,10.73,D2,
10000834,19.75,A4,
10000835,13.11,C2,
10000836,20.89,A3,
10000839,14.84,C1,
10000840,7.22,E2,
10000841,21.08,A2,
10000843,9.45,D3,
10000845,17.52,B1,
10000846,8.81,E1,
10000847,16.1,B2,
10000848,14.44,C1,
10000850,3.77,F3,
10000851,15.82,B3,
10000852,12.87,C3,
10000854,8.81,E1,
10000855,6.86,E3,
10000856,14.85,C1,
10000857,14.47,C1,
10000858,8.33,E1,
10000860,14.77,C1,
