Academic_Year,Semester,Course_Code,Student_ID,Course_Grade_Point,Overall_Grade,Warning
2017-18,Sem1,B1003,10000001,8.92,E1,
2017-18,Sem1,B1003,10000002,20.0,A3,
2017-18,Sem1,B1003,10000003,13.64,C2,
2017-18,Sem1,B1003,10000004,13.33,C2,
2017-18,Sem1,B1003,10000005,10.56,D2,
2017-18,Sem1,B1003,10000007,4.8,F2,
2017-18,Sem1,B1003,10000009,13.69,C2,
2017-18,Sem1,B1003,10000010,19.66,A4,
2017-18,Sem1,B1003,10000012,8.8,E1,
2017-18,Sem1,B1003,10000013,19.03,A4,
2017-18,Sem1,B1003,10000015,10.59,D2,
2017-18,Sem1,B1003,10000016,11.99,D1,
2017-18,Sem1,B1003,10000017,15.52,B3,
2017-18,Sem1,B1003,10000020,19.02,A4,
2017-18,Sem1,B1003,10000021,12.18,C3,
2017-18,Sem1,B1003,10000024,15.79,B3,
2017-18,Sem1,B1003,10000026,15.02,B3,
2017-18,Sem1,B1003,10000027,21.3,A2,
2017-18,Sem1,B1003,10000028,19.96,A4,
2017-18,Sem1,B1003,10000029,11.59,D1,
2017-18,Sem1,B1003,10000030,11.01,D1,
2017-18,Sem1,B1003,10000031,11.09,D1,
2017-18,Sem1,B1003,10000032,10.58,D2,
2017-18,Sem1,B1003,10000033,11.77,D1,
2017-18,Sem1,B1003,10000034,7.31,E2,
2017-18,Sem1,B1003,10000035,14.19,C1,
2017-18,Sem1,B1003,10000036,9.37,D3,
2017-18,Sem1,B1003,10000037,12.11,C3,
2017-18,Sem1,B1003,10000038,11.77,D1,
2017-18,Sem1,B1003,10000039,3.89,F3,
2017-18,Sem1,B1003,10000041,11.87,D1,
2017-18,Sem1,B1003,10000043,14.06,C1,
2017-18,Sem1,B1003,10000044,14.54,C1,
2017-18,Sem1,B1003,10000045,20.41,A3,
2017-18,Sem1,B1003,10000046,14.74,C1,
2017-18,Sem1,B1003,10000048,15.22,B3,
2017-18,Sem1,B1003,10000049,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem1,B1003,10000050,17.77,B1,
2017-18,Sem1,B1003,10000051,15.65,B3,
2017-18,Sem1,B1003,10000052,17.4,B1,
2017-18,Sem1,B1003,10000053,15.51,B3,
2017-18,Sem1,B1003,10000054,4.79,F2,
2017-18,Sem1,B1003,10000055,13.47,C2,
2017-18,Sem1,B1003,10000056,9.31,D3,
2017-18,Sem1,B1003,10000057,17.05,B1,
2017-18,Sem1,B1003,10000058,13.06,C2,
2017-18,Sem1,B1003,10000059,14.3,C1,
2017-18,Sem1,B1003,10000060,14.89,C1,
2017-18,Sem1,B1003,10000061,8.06,E1,
2017-18,Sem1,B1003,10000062,11.02,D1,
2017-18,Sem1,B1003,10000064,9.52,D3,
2017-18,Sem1,B1003,10000065,9.02,D3,
2017-18,Sem1,B1003,10000066,10.6,D2,
2017-18,Sem1,B1003,10000067,13.52,C2,
2017-18,Sem1,B1003,10000068,18.82,A5,
2017-18,Sem1,B1003,10000069,15.05,B3,
2017-18,Sem1,B1003,10000072,7.96,E2,
2017-18,Sem1,B1003,10000073,11.42,D1,
2017-18,Sem1,B1003,10000074,16.69,B2,
2017-18,Sem1,B1003,10000075,10.53,D2,
2017-18,Sem1,B1003,10000078,15.07,B3,
2017-18,Sem1,B1003,10000079,13.94,C2,
2017-18,Sem1,B1003,10000080,13.57,C2,
2017-18,Sem1,B1004,10000001,11.61,D1,
2017-18,Sem1,B1004,10000002,20.26,A3,
2017-18,Sem1,B1004,10000003,13.34,C2,
2017-18,Sem1,B1004,10000004,14.82,C1,
2017-18,Sem1,B1004,10000005,10.95,D2,
2017-18,Sem1,B1004,10000007,9.41,D3,
2017-18,Sem1,B1004,10000009,14.79,C1,
2017-18,Sem1,B1004,10000010,21.36,A2,
2017-18,Sem1,B1004,10000012,10.85,D2,
2017-18,Sem1,B1004,10000013,18.91,A5,
2017-18,Sem1,B1004,10000015,12.42,C3,
2017-18,Sem1,B1004,10000016,9.45,D3,
2017-18,Sem1,B1004,10000017,14.75,C1,
2017-18,Sem1,B1004,10000020,20.48,A3,
2017-18,Sem1,B1004,10000021,9.77,D3,
2017-18,Sem1,B1004,10000024,15.17,B3,
2017-18,Sem1,B1004,10000026,15.28,B3,
2017-18,Sem1,B1004,10000027,19.45,A4,
2017-18,Sem1,B1004,10000028,19.15,A4,
2017-18,Sem1,B1004,10000029,13.7,C2,
2017-18,Sem1,B1004,10000030,11.44,D1,
2017-18,Sem1,B1004,10000031,12.5,C3,
2017-18,Sem1,B1004,10000032,11.94,D1,
2017-18,Sem1,B1004,10000033,8.67,E1,
2017-18,Sem1,B1004,10000034,10.33,D2,
2017-18,Sem1,B1004,10000035,14.53,C1,
2017-18,Sem1,B1004,10000036,NP,NP,NO PAPER - FOLLOW UP REQUIRED
2017-18,Sem1,B1004,10000037,9.07,D3,
2017-18,Sem1,B1004,10000038,10.49,D2,
2017-18,Sem1,B1004,10000039,1.97,G1,
2017-18,Sem1,B1004,10000041,9.93,D3,
2017-18,Sem1,B1004,10000043,15.27,B3,
2017-18,Sem1,B1004,10000044,14.81,C1,
2017-18,Sem1,B1004,10000045,19.81,A4,
2017-18,Sem1,B1004,10000046,14.19,C1,
2017-18,Sem1,B1004,10000048,14.18,C1,
2017-18,Sem1,B1004,10000049,10.12,D2,
2017-18,Sem1,B1004,10000050,14.78,C1,
2017-18,Sem1,B1004,10000051,13.94,C2,
2017-18,Sem1,B1004,10000052,14.95,C1,
2017-18,Sem1,B1004,10000053,15.36,B3,
2017-18,Sem1,B1004,10000054,8.42,E1,
2017-18,Sem1,B1004,10000055,10.22,D2,
2017-18,Sem1,B1004,10000056,13.24,C2,
2017-18,Sem1,B1004,10000057,16.74,B2,
2017-18,Sem1,B1004,10000058,9.58,D3,
2017-18,Sem1,B1004,10000059,15.08,B3,
2017-18,Sem1,B1004,10000060,15.37,B3,
2017-18,Sem1,B1004,10000061,7.55,E2,
2017-18,Sem1,B1004,10000062,10.3,D2,
2017-18,Sem1,B1004,10000064,13.43,C2,
2017-18,Sem1,B1004,10000065,10.23,D2,
2017-18,Sem1,B1004,10000066,12.6,C3,
2017-18,Sem1,B1004,10000067,12.98,C3,
2017-18,Sem1,B1004,10000068,20.7,A3,
2017-18,Sem1,B1004,10000069,15.42,B3,
2017-18,Sem1,B1004,10000072,4.93,F2,
2017-18,Sem1,B1004,10000073,7.93,E2,
2017-18,Sem1,B1004,10000074,14.97,C1,
2017-18,Sem1,B1004,10000075,13.08,C2,
2017-18,Sem1,B1004,10000078,12.82,C3,
2017-18,Sem1,B1004,10000079,14.86,C1,
2017-18,Sem1,B1004,10000080,13.91,C2,
2017-18,Sem1,B2002,10000008,20.4,A3,
2017-18,Sem1,B2002,10000011,13.44,C2,
2017-18,Sem1,B2004,10000008,20.57,A3,
2017-18,Sem1,B2004,10000011,15.68,B3,
2017-18,Sem1,B2004,10000018,10.32,D2,
2017-18,Sem1,B2004,10000019,10.81,D2,
2017-18,Sem1,B2004,10000023,15.74,B3,
2017-18,Sem1,B2004,10000025,7.77,E2,
2017-18,Sem1,B2004,10000040,9.38,D3,
2017-18,Sem1,B2004,10000042,20.73,A3,
2017-18,Sem1,B2004,10000047,19.85,A4,
2017-18,Sem1,B2004,10000063,11.08,D1,
2017-18,Sem1,B2004,10000070,15.78,B3,
2017-18,Sem1,B2004,10000071,16.21,B2,
2017-18,Sem1,B2004,10000077,8.41,E1,
2017-18,Sem1,B2006,10000008,19.44,A4,
2017-18,Sem1,B2006,10000011,14.75,C1,
2017-18,Sem1,B2006,10000018,13.85,C2,
2017-18,Sem1,B2006,10000019,9.68,D3,
2017-18,Sem1,B2006,10000023,14.13,C1,
2017-18,Sem1,B2006,10000025,7.14,E2,
2017-18,Sem1,B2006,10000040,11.26,D1,
2017-18,Sem1,B2006,10000042,19.63,A4,
2017-18,Sem1,B2006,10000047,20.01,A3,
2017-18,Sem1,B2006,10000063,10.16,D2,
2017-18,Sem1,B2006,10000070,13.74,C2,
2017-18,Sem1,B2006,10000071,14.63,C1,
2017-18,Sem1,B2006,10000077,8.37,E1,
2017-18,Sem1,B2007,10000008,20.97,A3,
2017-18,Sem1,B2007,10000011,15.68,B3,
2017-18,Sem1,B2007,10000018,8.92,E1,
2017-18,Sem1,B2007,10000019,12.45,C3,
2017-18,Sem1,B2007,10000023,14.71,C1,
2017-18,Sem1,B2007,10000025,5.07,F1,
2017-18,Sem1,B2007,10000040,10.33,D2,
2017-18,Sem1,B2007,10000042,20.66,A3,
2017-18,Sem1,B2007,10000047,21.27,A2,
2017-18,Sem1,B2007,10000063,9.98,D3,
2017-18,Sem1,B2007,10000070,15.4,B3,
2017-18,Sem1,B2007,10000071,15.24,B3,
2017-18,Sem1,B2007,10000077,3.82,F3,
2017-18,Sem1,B2009,10000018,10.66,D2,
2017-18,Sem1,B2009,10000019,10.49,D2,
2017-18,Sem1,B2009,10000023,14.65,C1,
2017-18,Sem1,B2009,10000025,3.73,F3,
2017-18,Sem1,B2009,10000040,10.42,D2,
2017-18,Sem1,B2009,10000042,20.87,A3,
2017-18,Sem1,B2009,10000047,20.89,A3,
2017-18,Sem1,B2009,10000063,9.19,D3,
2017-18,Sem1,B2009,10000070,16.36,B2,
2017-18,Sem1,B2009,10000071,16.2,B2,
2017-18,Sem1,B2009,10000077,2.95,G1,
2017-18,Sem1,B3001,10000006,12.35,C3,
2017-18,Sem1,B3001,10000014,15.95,B3,
2017-18,Sem1,B3002,10000006,11.64,D1,
2017-18,Sem1,B3002,10000014,15.56,B3,
2017-18,Sem1,B3004,10000022,9.31,D3,
2017-18,Sem1,B3004,10000076,14.87,C1,
2017-18,Sem1,B3005,10000022,8.45,E1,
2017-18,Sem1,B3005,10000076,15.25,B3,
2017-18,Sem1,B3009,10000006,12.5,C3,
2017-18,Sem1,B3009,10000014,13.31,C2,
2017-18,Sem1,B3010,10000006,10.68,D2,
2017-18,Sem1,B3010,10000014,15.59,B3,
2017-18,Sem1,GS1001,10000001,8.67,E1,
2017-18,Sem1,GS1001,10000002,20.07,A3,
2017-18,Sem1,GS1001,10000003,16.39,B2,
2017-18,Sem1,GS1001,10000004,16.81,B2,
2017-18,Sem1,GS1001,10000005,13.0,C2,
2017-18,Sem1,GS1001,10000007,10.14,D2,
2017-18,Sem1,GS1001,10000009,14.45,C1,
2017-18,Sem1,GS1001,10000010,20.81,A3,
2017-18,Sem1,GS1001,10000012,11.76,D1,
2017-18,Sem1,GS1001,10000013,19.79,A4,
2017-18,Sem1,GS1001,10000015,10.77,D2,
2017-18,Sem1,GS1001,10000016,12.67,C3,
2017-18,Sem1,GS1001,10000017,15.27,B3,
2017-18,Sem1,GS1001,10000020,19.19,A4,
2017-18,Sem1,GS1001,10000021,13.07,C2,
2017-18,Sem1,GS1001,10000024,14.65,C1,
2017-18,Sem1,GS1001,10000026,16.41,B2,
2017-18,Sem1,GS1001,10000027,20.61,A3,
2017-18,Sem1,GS1001,10000028,20.85,A3,
2017-18,Sem1,GS1001,10000029,11.05,D1,
2017-18,Sem1,GS1001,10000030,11.02,D1,
2017-18,Sem1,GS1001,10000031,13.3,C2,
2017-18,Sem1,GS1001,10000032,12.09,C3,
2017-18,Sem1,GS1001,10000033,7.59,E2,
2017-18,Sem1,GS1001,10000034,2.77,G1,
2017-18,Sem1,GS1001,10000035,15.23,B3,
2017-18,Sem1,GS1001,10000036,11.32,D1,
2017-18,Sem1,GS1001,10000037,11.83,D1,
2017-18,Sem1,GS1001,10000038,8.97,E1,
2017-18,Sem1,GS1001,10000039,7.74,E2,
2017-18,Sem1,GS1001,10000041,11.98,D1,
2017-18,Sem1,GS1001,10000043,15.15,B3,
2017-18,Sem1,GS1001,10000044,14.05,C1,
2017-18,Sem1,GS1001,10000045,20.26,A3,
2017-18,Sem1,GS1001,10000046,13.94,C2,
2017-18,Sem1,GS1001,10000048,13.97,C2,
2017-18,Sem1,GS1001,10000049,8.34,E1,
2017-18,Sem1,GS1001,10000050,14.8,C1,
2017-18,Sem1,GS1001,10000051,16.37,B2,
2017-18,Sem1,GS1001,10000052,15.53,B3,
2017-18,Sem1,GS1001,10000053,16.52,B2,
2017-18,Sem1,GS1001,10000054,7.02,E2,
2017-18,Sem1,GS1001,10000055,8.02,E1,
2017-18,Sem1,GS1001,10000056,10.52,D2,
2017-18,Sem1,GS1001,10000057,13.49,C2,
