Student_ID,Programme,Entry_Level,Entry_Year,Total_Credits,Year_3_GPA,Year_4_GPA,Final_GPA,Degree_Classification,Graduation_Date,Graduation_Status
10000001,Accountancy & Finance,1,2017/18,360,10.47,11.11,10.79,Third Class Honours,2021-06-30,Graduated
10000002,Accountancy & Finance,1,2017/18,360,17.66,19.8,18.73,First Class Honours,2021-06-30,Graduated
10000003,Accountancy & Finance,1,2017/18,360,15.14,11.77,13.46,Lower Second Class Honours,2021-06-30,Pending
10000004,Accountancy & Finance,1,2017/18,360,15.15,14.83,14.99,Borderline 2.2/2.1,2021-06-30,Graduated
10000005,Accountancy & Finance,1,2017/18,360,11.23,10.33,10.78,Third Class Honours,2021-06-30,Graduated
10000006,Accountancy & Finance,3,2017/18,120,10.64,11.09,10.86,Third Class Honours,2019-06-30,Graduated
10000007,Accountancy & Finance,1,2017/18,360,6.49,4.89,5.69,Fail,2021-06-30,Deferred
10000008,Accountancy & Finance,2,2017/18,240,20.45,20.15,20.3,First Class Honours,2020-06-30,Graduated
10000009,Accountancy & Finance,1,2017/18,360,15.1,14.24,14.67,Borderline 2.2/2.1,2021-06-30,Graduated
10000010,Accountancy & Finance,1,2017/18,360,20.09,20.03,20.06,First Class Honours,2021-06-30,Graduated
10000011,Accountancy & Finance,2,2017/18,240,14.92,13.39,14.15,Lower Second Class Honours,2020-06-30,Pending
10000012,Accountancy & Finance,1,2017/18,360,11.27,10.07,10.67,Third Class Honours,2021-06-30,Graduated
10000013,Accountancy & Finance,1,2017/18,360,19.75,20.0,19.87,First Class Honours,2021-06-30,Graduated
10000015,Accountancy & Finance,1,2017/18,360,9.76,10.9,10.33,Third Class Honours,2021-06-30,Graduated
10000016,Accountancy & Finance,1,2017/18,360,11.25,10.84,11.05,Third Class Honours,2021-06-30,Graduated
10000017,Accountancy & Finance,1,2017/18,360,12.84,15.21,14.02,Lower Second Class Honours,2021-06-30,Graduated
10000018,Business Management,2,2017/18,240,8.86,10.23,9.54,Third Class Honours,2020-06-30,Graduated
10000020,Business Management,1,2017/18,360,19.49,15.21,17.35,Upper Second Class Honours,2021-06-30,Pending
