Student_ID,Course_Grade_Point,Overall_Grade,Warning
10000623,10.27,D2,
10000624,11.72,D1,
10000625,8.46,E1,
10000626,11.97,D1,
10000628,3.76,F3,
10000629,10.12,D2,
10000631,13.47,C2,
10000632,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000634,11.47,D1,
10000635,11.63,D1,
10000636,13.68,C2,
10000638,19.92,A4,
10000639,16.31,B2,
10000640,14.64,C1,
10000641,12.47,C3,
10000642,12.07,C3,
10000643,21.33,A2,
10000646,10.33,D2,
10000647,21.79,A2,
10000648,13.91,C2,
10000649,13.31,C2,
10000650,16.79,B2,
10000652,15.31,B3,
10000654,11.58,D1,
10000655,12.14,C3,
10000656,3.7,F3,
10000657,9.37,D3,
10000659,19.03,A4,
10000660,15.07,B3,
10000662,6.16,E3,
10000663,6.26,E3,
10000664,14.16,C1,
10000665,9.67,D3,
10000666,10.99,D2,
10000667,10.41,D2,
10000668,14.94,C1,
10000671,18.47,A5,
10000672,15.7,B3,
10000673,8.02,E1,
10000674,15.45,B3,
10000675,14.99,C1,
10000676,13.93,C2,
10000677,19.76,A4,
10000678,12.15,C3,
10000679,18.98,A5,
10000680,14.32,C1,
10000681,10.93,D2,
10000685,13.77,C2,
10000686,19.12,A4,
10000689,14.68,C1,
10000690,12.0,C3,
10000691,12.91,C3,
10000692,8.52,E1,
10000695,21.27,A2,
10000696,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000697,10.89,D2,
10000701,8.73,E1,
10000703,11.45,D1,
10000705,17.36,B1,
10000707,14.73,C1,
10000708,19.99,A4,
10000709,11.48,D1,
10000710,11.48,D1,
10000714,13.05,C2,
10000715,10.6,D2,
10000716,10.34,D2,
10000717,19.2,A4,
10000718,10.82,D2,
10000719,9.36,D3,
10000721,20.21,A3,
10000722,12.84,C3,
10000723,13.28,C2,
10000724,3.5,F3,
10000725,17.52,B1,
10000726,11.39,D1,
10000727,20.1,A3,
10000729,9.6,D3,
10000730,21.14,A2,
10000731,10.73,D2,
10000732,6.61,E3,
10000733,10.32,D2,
10000734,19.99,A4,
10000738,14.58,C1,
10000739,16.68,B2,
10000740,12.74,C3,
10000741,14.31,C1,
10000743,10.83,D2,
10000745,3.54,F3,
10000746,11.71,D1,
10000747,10.02,D2,
10000748,9.39,D3,
10000749,16.29,B2,
10000750,10.31,D2,
10000751,7.95,E2,
10000753,12.52,C3,
10000754,11.74,D1,
10000755,14.35,C1,
10000756,14.49,C1,
10000757,12.24,C3,
10000761,19.41,A4,
10000763,14.93,C1,
10000764,13.58,C2,
10000765,12.11,C3,
10000766,17.57,B1,
10000767,20.68,A3,
10000769,12.39,C3,
10000773,3.11,F3,
10000776,18.65,A5,
10000777,6.56,E3,
10000778,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000780,15.09,B3,
10000781,8.26,E1,
10000782,12.17,C3,
10000783,9.42,D3,
10000784,15.06,B3,
10000785,10.95,D2,
10000786,19.77,A4,
10000787,16.04,B2,
10000790,9.95,D3,
10000791,15.04,B3,
10000792,12.76,C3,
10000793,14.83,C1,
10000794,11.73,D1,
10000796,13.88,C2,
10000797,16.56,B2,
10000798,12.77,C3,
10000799,20.73,A3,
10000800,12.59,C3,
10000801,20.61,A3,
10000802,10.99,D2,
10000803,12.7,C3,
10000804,16.1,B2,
10000805,16.68,B2,
10000806,14.42,C1,
10000807,9.97,D3,
10000808,0.71,G2,
10000809,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000810,14.31,C1,
10000811,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10000812,14.37,C1,
10000813,12.6,C3,
10000814,15.31,B3,
10000815,19.41,A4,
10000818,6.68,E3,
10000819,8.68,E1,
10000820,9.67,D3,
10000822,1.15,G1,
10000824,3.03,F3,
10000825,10.21,D2,
10000827,15.31,B3,
10000828,12.93,C3,
10000830,NP,NP,NO PAPER - FOLLOW UP REQUIRED
