Academic_Year,Semester,Student_ID,Course_Code,Total_Sessions,Sessions_Attended,Attendance_Percentage,Attendance_Status
2023/24,Sem1,10002849,GS1001,20,17,89.0,Good
2023/24,Sem1,10002849,GS1002,20,17,87.8,Good
2023/24,Sem1,10002849,B1003,20,16,84.8,Good
2023/24,Sem1,10002849,B1004,20,17,88.2,Good
2023/24,Sem2,10002849,B1501,20,16,80.2,Good
2023/24,Sem2,10002849,B1502,20,18,93.9,Good
2023/24,Sem2,10002849,B1503,20,16,81.1,Good
2023/24,Sem2,10002849,B1504,20,18,93.7,Good
2023/24,Sem1,10002850,GS1001,20,17,85.4,Good
2023/24,Sem1,10002850,GS1002,20,18,90.1,Good
2023/24,Sem1,10002850,B1003,20,16,83.3,Good
2023/24,Sem1,10002850,B1004,20,16,81.3,Good
2023/24,Sem2,10002850,B1501,20,17,88.4,Good
2023/24,Sem2,10002850,B1502,20,16,83.2,Good
2023/24,Sem2,10002850,B1503,20,15,77.6,Warning
2023/24,Sem2,10002850,B1504,20,15,76.4,Warning
2023/24,Sem1,10002851,GS1001,20,15,78.0,Warning
2023/24,Sem1,10002851,GS1002,20,14,72.4,Warning
2023/24,Sem1,10002851,B1003,20,15,78.9,Warning
2023/24,Sem1,10002851,B1004,20,14,71.4,Warning
2023/24,Sem2,10002851,B1501,20,13,69.0,Warning
2023/24,Sem2,10002851,B1502,20,13,68.0,Warning
2023/24,Sem2,10002851,B1503,20,14,74.9,Warning
2023/24,Sem2,10002851,B1504,20,17,85.5,Good
2023/24,Sem1,10002852,B2002,20,16,83.1,Good
2023/24,Sem1,10002852,B2004,20,14,74.0,Warning
2023/24,Sem1,10002852,B2006,20,12,63.2,Warning
2023/24,Sem1,10002852,B2007,20,14,70.5,Warning
2023/24,Sem2,10002852,B2501,20,15,78.1,Warning
2023/24,Sem2,10002852,B2502,20,14,74.6,Warning
2023/24,Sem2,10002852,B2503,20,15,78.9,Warning
2023/24,Sem2,10002852,B2504,20,14,70.4,Warning
2023/24,Sem1,10002853,GS1001,20,11,56.6,Concern
2023/24,Sem1,10002853,GS1002,20,13,65.0,Warning
2023/24,Sem1,10002853,B1003,20,11,59.1,Concern
2023/24,Sem1,10002853,B1004,20,12,64.4,Warning
2023/24,Sem2,10002853,B1501,20,10,52.5,Concern
2023/24,Sem2,10002853,B1502,20,11,59.4,Concern
2023/24,Sem2,10002853,B1503,20,10,51.0,Concern
2023/24,Sem2,10002853,B1504,20,9,47.1,Concern
2023/24,Sem1,10002854,GS1001,20,18,93.6,Good
2023/24,Sem1,10002854,GS1002,20,17,85.5,Good
2023/24,Sem1,10002854,B1003,20,16,82.9,Good
2023/24,Sem1,10002854,B1004,20,18,92.0,Good
2023/24,Sem2,10002854,B1501,20,18,91.2,Good
2023/24,Sem2,10002854,B1502,20,17,87.6,Good
2023/24,Sem2,10002854,B1503,20,16,83.4,Good
2023/24,Sem2,10002854,B1504,20,16,84.6,Good
2023/24,Sem1,10002855,B2002,20,15,78.9,Warning
2023/24,Sem1,10002855,B2004,20,16,81.5,Good
2023/24,Sem1,10002855,B2006,20,15,79.3,Warning
2023/24,Sem1,10002855,B2007,20,14,74.4,Warning
2023/24,Sem2,10002855,B2501,20,12,62.5,Warning
2023/24,Sem2,10002855,B2502,20,15,77.7,Warning
2023/24,Sem2,10002855,B2503,20,13,69.0,Warning
2023/24,Sem2,10002855,B2504,20,13,65.2,Warning
2023/24,Sem1,10002856,GS1001,20,14,70.1,Warning
2023/24,Sem1,10002856,GS1002,20,14,74.2,Warning
2023/24,Sem1,10002856,B1003,20,15,77.8,Warning
2023/24,Sem1,10002856,B1004,20,13,68.4,Warning
2023/24,Sem2,10002856,B1501,20,13,68.9,Warning
2023/24,Sem2,10002856,B1502,20,13,66.8,Warning
2023/24,Sem2,10002856,B1503,20,12,62.5,Warning
2023/24,Sem2,10002856,B1504,20,14,73.1,Warning
2023/24,Sem1,10002857,GS1001,20,16,81.9,Good
2023/24,Sem1,10002857,GS1002,20,14,70.2,Warning
2023/24,Sem1,10002857,B1003,20,15,76.3,Warning
2023/24,Sem1,10002857,B1004,20,14,71.6,Warning
2023/24,Sem2,10002857,B1501,20,16,84.1,Good
2023/24,Sem2,10002857,B1502,20,14,74.5,Warning
2023/24,Sem2,10002857,B1503,20,13,66.2,Warning
2023/24,Sem2,10002857,B1504,20,13,65.3,Warning
2023/24,Sem1,10002858,GS1001,20,16,83.8,Good
2023/24,Sem1,10002858,GS1002,20,16,84.4,Good
2023/24,Sem1,10002858,B1003,20,18,93.0,Good
2023/24,Sem1,10002858,B1004,20,15,76.0,Warning
2023/24,Sem2,10002858,B1501,20,15,77.1,Warning
2023/24,Sem2,10002858,B1502,20,15,79.7,Warning
