Student_ID,Course_Grade_Point,Overall_Grade,Warning
10003118,6.27,E3,
10003119,13.92,C2,
10003134,13.1,C2,
10003139,9.08,D3,
10003144,11.96,D1,
10003145,11.49,D1,
10003150,12.81,C3,
10003152,10.19,D2,
10003156,16.6,B2,
10002596,12.88,C3,
10002597,13.21,C2,
10002598,19.7,A4,
10002599,9.14,D3,
10002601,9.35,D3,
10002602,13.31,C2,
10002604,19.03,A4,
10002605,16.37,B2,
10002606,12.6,C3,
10002607,19.02,A4,
10002608,15.08,B3,
10002612,11.47,D1,
10002615,13.26,C2,
10002616,21.27,A2,
10002617,15.48,B3,
10002620,13.41,C2,
10002621,9.37,D3,
10002622,13.25,C2,
10002623,11.77,D1,
10002625,16.15,B2,
10002626,18.78,A5,
10002628,1.96,G1,
10002629,20.15,A3,
10002630,8.09,E1,
10002631,18.25,A5,
10002633,9.62,D3,
10002635,3.21,F3,
10002636,8.99,E1,
10002637,16.08,B2,
10002638,6.57,E3,
10002639,14.27,C1,
10002641,6.76,E3,
10002642,14.13,C1,
10002644,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002645,7.37,E2,
10002646,11.05,D1,
10002648,12.52,C3,
10002649,11.92,D1,
10002650,10.28,D2,
10002651,13.58,C2,
10002652,16.59,B2,
10002653,21.27,A2,
10002655,14.52,C1,
10002656,8.51,E1,
10002658,9.51,D3,
10002660,15.82,B3,
10002661,13.37,C2,
