Student_ID,Course_Grade_Point,Overall_Grade,Warning
10003418,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003427,11.08,D1,
10003428,15.79,B3,
10003438,8.0,E1,
10003440,10.75,D2,
10003441,14.95,C1,
10003460,8.29,E1,
10003461,13.33,C2,
10003466,19.49,A4,
10003479,17.08,B1,
10003480,19.38,A4,
10003486,8.53,E1,
10003490,15.39,B3,
10003494,21.01,A2,
10003562,21.36,A2,
10003575,19.7,A4,
10003605,20.13,A3,
10003613,10.63,D2,
10003624,14.23,C1,
10003637,11.36,D1,
10003641,14.99,C1,
10003649,11.51,D1,
10003661,12.23,C3,
10003669,6.09,E3,
10003676,13.75,C2,
10003683,10.2,D2,
10002480,12.42,C3,
10002481,14.88,C1,
10002482,15.91,B3,
10002483,14.94,C1,
10002484,11.75,D1,
10002486,13.63,C2,
10002488,9.19,D3,
10002489,11.61,D1,
10002491,12.29,C3,
10002492,12.21,C3,
10002494,19.93,A4,
10002497,19.73,A4,
10002498,11.78,D1,
10002499,21.11,A2,
10002500,8.45,E1,
10002501,5.85,F1,
10002502,13.36,C2,
10002503,5.57,F1,
10002504,1.69,G1,
10002505,13.79,C2,
10002506,15.24,B3,
10002507,8.38,E1,
10002508,16.67,B2,
10002509,10.19,D2,
10002511,21.12,A2,
10002512,12.17,C3,
10002513,10.6,D2,
10002514,12.84,C3,
10002515,6.16,E3,
10002517,15.08,B3,
10002518,4.07,F2,
10002519,14.3,C1,
10002520,4.78,F2,
10002521,6.46,E3,
10002522,14.32,C1,
10002523,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002524,4.74,F2,
10002525,7.42,E2,
10002526,6.1,E3,
10002527,5.4,F1,
10002528,21.76,A2,
10002529,10.1,D2,
10002530,20.61,A3,
10002532,16.4,B2,
10002533,8.02,E1,
10002534,9.62,D3,
10002535,14.17,C1,
10002536,4.5,F2,
10002537,6.24,E3,
10002538,16.39,B2,
10002539,14.9,C1,
10002540,18.98,A5,
10002541,16.49,B2,
10002542,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002544,14.88,C1,
10002547,12.06,C3,
10002548,12.67,C3,
10002549,13.1,C2,
10002550,3.98,F3,
10002551,7.28,E2,
10002553,10.26,D2,
10002555,11.5,D1,
10002556,14.12,C1,
10002557,19.51,A4,
10002558,13.14,C2,
10002559,14.7,C1,
10002561,17.75,B1,
10002562,14.36,C1,
10002563,6.75,E3,
10002564,12.17,C3,
10002565,12.03,C3,
10002566,20.08,A3,
10002567,10.53,D2,
10002568,12.37,C3,
10002572,14.95,C1,
10002573,13.15,C2,
10002575,12.57,C3,
10002578,6.5,E3,
10002579,14.79,C1,
10002580,11.84,D1,
10002582,20.6,A3,
10002583,16.43,B2,
10002584,12.27,C3,
10002586,15.86,B3,
10002587,11.54,D1,
10002588,16.2,B2,
10002589,11.15,D1,
10002590,7.72,E2,
10002591,16.5,B2,
10002592,14.84,C1,
10002593,14.1,C1,
10002596,16.69,B2,
10002597,12.35,C3,
10002598,20.17,A3,
10002599,12.39,C3,
10002601,11.56,D1,
10002602,10.85,D2,
10002604,19.32,A4,
10002605,14.99,C1,
10002606,12.64,C3,
10002607,20.0,A3,
10002608,15.43,B3,
10002612,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002615,16.02,B2,
10002616,19.65,A4,
10002617,15.79,B3,
10002620,14.86,C1,
10002621,10.4,D2,
10002622,12.67,C3,
10002623,13.77,C2,
10002625,15.81,B3,
10002626,19.02,A4,
10002628,6.66,E3,
10002629,20.27,A3,
10002630,7.77,E2,
10002631,20.32,A3,
10002633,12.36,C3,
10002635,10.84,D2,
10002636,12.33,C3,
10002637,15.65,B3,
10002638,9.84,D3,
10002639,13.23,C2,
10002641,2.61,G1,
10002642,15.88,B3,
10002644,9.37,D3,
10002645,8.46,E1,
10002646,10.51,D2,
10002648,14.87,C1,
10002649,11.37,D1,
10002650,11.0,D1,
10002651,11.78,D1,
10002652,16.18,B2,
10002653,20.36,A3,
10002655,13.65,C2,
10002656,12.68,C3,
10002658,12.7,C3,
10002660,13.31,C2,
10002661,15.23,B3,
10002662,14.92,C1,
10002663,3.96,F3,
10002664,11.74,D1,
10002665,20.28,A3,
10002667,13.04,C2,
10002668,7.33,E2,
10002671,15.02,B3,
10002672,19.72,A4,
10002673,19.58,A4,
10002677,12.02,C3,
10002678,12.47,C3,
10002680,14.15,C1,
10002686,11.44,D1,
10002690,16.08,B2,
10002691,14.93,C1,
10002692,19.81,A4,
10002697,7.37,E2,
10002698,8.0,E1,
10002699,6.5,E3,
10002701,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002703,3.76,F3,
10002704,3.23,F3,
10002705,9.92,D3,
10002706,10.4,D2,
10002708,17.2,B1,
10002709,19.18,A4,
10002712,13.75,C2,
10002714,14.39,C1,
10002715,9.34,D3,
10002719,4.91,F2,
10002721,19.99,A4,
10002722,15.13,B3,
10002723,13.02,C2,
10002724,8.27,E1,
10002727,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002728,13.33,C2,
10002907,12.66,C3,
10002935,11.83,D1,
10002952,15.15,B3,
10002955,15.7,B3,
10002957,13.74,C2,
10002969,12.95,C3,
10002973,10.26,D2,
10002980,19.81,A4,
10002995,12.03,C3,
10003006,15.22,B3,
10003082,14.66,C1,
10003092,16.47,B2,
10003096,19.39,A4,
10003101,8.85,E1,
10003102,2.63,G1,
10003106,16.15,B2,
10003109,9.64,D3,
10003115,12.29,C3,
10003118,5.83,F1,
10003119,13.23,C2,
10003134,13.09,C2,
10003139,10.81,D2,
10003144,11.65,D1,
10003145,12.14,C3,
10003150,8.74,E1,
10003152,8.6,E1,
10003156,14.75,C1,
10003166,16.41,B2,
10003168,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003170,12.63,C3,
10003172,8.67,E1,
10003183,13.2,C2,
10003187,19.74,A4,
10003190,12.3,C3,
10003193,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10003206,9.82,D3,
