Student_ID,Course_Grade_Point,Overall_Grade,Warning
10002662,16.24,B2,
10002663,NP,NP,NO PAPER - FOLLOW UP REQUIRED
10002664,12.55,C3,
10002665,19.18,A4,
10002667,13.79,C2,
10002668,12.94,C3,
10002671,14.9,C1,
10002672,20.04,A3,
10002673,18.84,A5,
10002677,9.26,D3,
10002678,14.36,C1,
10002680,13.21,C2,
10002686,12.82,C3,
10002690,16.95,B2,
10002691,12.86,C3,
10002692,19.45,A4,
10002697,5.92,F1,
10002698,10.22,D2,
10002699,3.77,F3,
10002701,15.77,B3,
10002703,10.82,D2,
10002704,6.38,E3,
10002705,13.35,C2,
10002706,11.33,D1,
10002708,15.14,B3,
10002709,18.44,A5,
10002712,15.73,B3,
10002714,13.83,C2,
10002715,12.97,C3,
10002719,7.06,E2,
10002721,20.72,A3,
10002722,14.03,C1,
10002723,16.13,B2,
10002724,13.44,C2,
10002727,21.59,A2,
10002728,9.99,D3,
10003012,12.06,C3,
10003021,7.71,E2,
10003024,10.31,D2,
10003025,11.05,D1,
10003033,20.34,A3,
10003036,13.51,C2,
10003040,10.16,D2,
10003046,14.04,C1,
10003047,14.23,C1,
10003061,15.21,B3,
10003065,13.4,C2,
10003069,16.93,B2,
10003071,14.91,C1,
10003072,7.83,E2,
10003073,16.25,B2,
10003166,16.03,B2,
10003168,14.11,C1,
10003170,11.17,D1,
10003172,11.86,D1,
10003183,17.12,B1,
10003187,19.91,A4,
10003190,9.74,D3,
10003193,12.75,C3,
10003206,11.86,D1,
10003509,7.64,E2,
10003521,13.34,C2,
10003524,12.02,C3,
10003525,19.64,A4,
10003526,8.31,E1,
10003538,10.87,D2,
10003539,10.85,D2,
10003641,15.18,B3,
10003649,10.27,D2,
10003661,8.9,E1,
10003669,7.64,E2,
10003676,7.98,E2,
10003683,10.86,D2,
